gene,metric,imaging,r_res,p_res,n,n_carriers_img,CGC,in_pathway,fdr_full,fdr_per_gene,fdr_per_gene_metric,fdr_best_per_gene,cohort
ABCA13,mean_abs_dll,kits_tumor_volume_ml,0.3311870451381897,1.6713434003086193e-05,162,8,False,False,0.0310148846802234,0.0005348298880987,6.685373601234477e-05,0.0017214837023178,KIRC
MAST4,n_mutations,kits_tumor_volume_ml,0.3142964684174613,4.639815044623173e-05,162,6,False,False,0.0310148846802234,0.0012991482124944,0.0001855926017849,0.0023895047479809,KIRC
ALMS1,n_mutations,kits_tumor_volume_ml,0.3019637956316783,9.415970263261076e-05,162,5,False,False,0.0310148846802234,0.0026364716737131,0.0003766388105304,0.0030144457825327,KIRC
ABCA13,max_dll,kits_tumor_volume_ml,-0.3007168714708469,0.0001009689835011,162,8,False,False,0.0310148846802234,0.0008029745316055,0.0004038759340045,,KIRC
TPR,n_mutations,kits_tumor_volume_ml,0.2978220396919614,0.0001185925642101,162,5,True,False,0.0310148846802234,0.0033205917978829,0.0004743702568404,0.0030144457825327,KIRC
ABCA13,max_abs_dll,kits_tumor_volume_ml,0.2977017556108708,0.0001193836135685,162,8,False,False,0.0310148846802234,0.0008029745316055,0.0004775344542743,,KIRC
ABCA13,sum_abs_dll,kits_tumor_volume_ml,0.2977017556108708,0.0001193836135685,162,8,False,False,0.0310148846802234,0.0008029745316055,0.0004775344542743,,KIRC
ABCA13,n_mutations,kits_tumor_volume_ml,0.2968011732519454,0.0001254647705633,162,8,False,False,0.0310148846802234,0.0008029745316055,0.0005018590822534,,KIRC
SPEN,max_dll,kits_tumor_volume_ml,-0.2939933508085957,0.0001463323195404,162,5,True,False,0.0310148846802234,0.0031724831178162,0.0005853292781616,0.0030144457825327,KIRC
STAG2,n_mutations,kits_tumor_volume_ml,0.2879940438546094,0.0002022171840831,162,6,True,False,0.0310148846802234,0.0023164262105704,0.0008088687363327,0.0030183236715433,KIRC
SYNE1,n_mutations,kits_tumor_volume_ml,0.2877258070840342,0.0002051287932116,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0008205151728467,0.0030183236715433,KIRC
MYH4,mean_abs_dll,kits_tumor_volume_ml,0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,0.0033604815917249,KIRC
MYH4,max_abs_dll,kits_tumor_volume_ml,0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,,KIRC
MYH4,max_dll,kits_tumor_volume_ml,-0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,,KIRC
MYH4,sum_abs_dll,kits_tumor_volume_ml,0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,,KIRC
MYH4,top1_signed,kits_tumor_volume_ml,-0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,,KIRC
MYH4,min_dll,kits_tumor_volume_ml,-0.2812987730941745,0.0002877063809292,162,6,False,False,0.0310148846802234,0.0013426297776698,0.0011508255237169,,KIRC
ROCK1,sum_abs_dll,kits_tumor_volume_ml,0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,,KIRC
ROCK1,max_dll,kits_tumor_volume_ml,-0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,,KIRC
ROCK1,max_abs_dll,kits_tumor_volume_ml,0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,0.0033604815917249,KIRC
ROCK1,top1_signed,kits_tumor_volume_ml,-0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,,KIRC
ROCK1,mean_abs_dll,kits_tumor_volume_ml,0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,,KIRC
ROCK1,min_dll,kits_tumor_volume_ml,-0.2809063452486336,0.00029363431384,162,5,False,True,0.0310148846802234,0.0013702934645868,0.0011745372553601,,KIRC
SYNE1,min_dll,kits_tumor_volume_ml,-0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
SYNE1,top1_signed,kits_tumor_volume_ml,-0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
SYNE1,sum_abs_dll,kits_tumor_volume_ml,0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
SYNE1,mean_abs_dll,kits_tumor_volume_ml,0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
SYNE1,max_dll,kits_tumor_volume_ml,-0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
SYNE1,max_abs_dll,kits_tumor_volume_ml,0.2803714230359364,0.0003018973730413,162,7,False,False,0.0310148846802234,0.0012075894921653,0.0012075894921653,,KIRC
ATM,max_abs_dll,kits_tumor_volume_ml,0.2774586172879929,0.0003508048897225,162,10,True,False,0.0310148846802234,0.0028084705614782,0.00140321955889,,KIRC
ATM,min_dll,kits_tumor_volume_ml,-0.2774586172879929,0.0003508048897225,162,10,True,False,0.0310148846802234,0.0028084705614782,0.00140321955889,0.0036132903641417,KIRC
ATM,top1_signed,kits_tumor_volume_ml,-0.2774586172879929,0.0003508048897225,162,10,True,False,0.0310148846802234,0.0028084705614782,0.00140321955889,,KIRC
ATM,sum_abs_dll,kits_tumor_volume_ml,0.2774445019257825,0.0003510588201847,162,10,True,False,0.0310148846802234,0.0028084705614782,0.0014042352807391,,KIRC
